transaction_id,account_id,transaction_date,transaction_type,amount
1,1,2023-08-16,Debit,45516.64
2,1,2019-06-19,Debit,41527.09
3,1,2020-07-12,Debit,142.38
4,1,2019-04-28,Debit,485.40
5,1,2021-12-08,Credit,3566.95
6,1,2021-01-09,Credit,351.66
7,1,2022-05-27,Credit,496.25
8,1,2019-08-03,Credit,263.77
9,1,2024-12-31,Credit,4396.53
10,1,2021-10-12,Debit,352.19
11,1,2022-12-28,Debit,100.87
12,1,2017-10-09,Debit,147.70
13,1,2023-10-25,Debit,13351.71
14,1,2023-12-01,Credit,448.47
15,1,2020-01-26,Credit,371.94
16,1,2018-10-08,Debit,31508.47
17,1,2019-04-12,Debit,156.93
18,1,2018-05-17,Credit,327.06
19,1,2023-06-10,Debit,255.46
20,1,2025-02-07,Debit,500.53
21,1,2019-11-24,Debit,497.61
22,1,2025-04-08,Debit,48460.49
23,1,2020-08-17,Debit,358.71
24,1,2023-10-23,Debit,460.05
25,1,2019-11-02,Credit,442.78
26,1,2020-05-28,Credit,3700.91
27,2,2018-01-21,Debit,330.52
28,2,2020-04-24,Debit,20117.60
29,2,2023-09-05,Debit,98.70
30,2,2022-08-15,Debit,407.07
31,2,2025-03-09,Debit,2303.32
32,2,2021-01-03,Credit,3993.90
33,2,2022-10-11,Credit,77.90
34,2,2020-04-11,Debit,423.61
35,2,2020-03-08,Credit,292.20
36,2,2025-07-16,Credit,189.95
37,2,2018-12-29,Debit,177.50
38,2,2021-03-30,Credit,141.16
39,2,2019-01-26,Debit,2913.69
40,2,2022-04-30,Credit,297.06
41,2,2019-10-03,Debit,281.04
42,2,2020-12-15,Debit,509.49
43,2,2018-09-25,Credit,248.22
44,2,2020-04-09,Debit,285.90
45,2,2020-05-12,Credit,86.25
46,2,2025-01-27,Debit,282.28
47,2,2019-01-06,Debit,2584.09
48,2,2024-02-06,Debit,95.13
49,2,2017-10-04,Debit,481.92
50,2,2023-01-09,Debit,487.45
51,2,2024-09-07,Debit,445.74
52,2,2020-05-14,Credit,2900.04
53,2,2020-05-02,Debit,433.17
54,2,2018-04-20,Debit,145.47
55,2,2021-12-06,Credit,544.76
56,2,2020-01-22,Debit,76.78
57,2,2022-07-27,Debit,397.23
58,2,2017-07-20,Debit,202.53
59,2,2018-11-11,Debit,448.17
60,2,2023-06-22,Debit,498.36
61,2,2018-02-15,Debit,359.00
62,2,2025-10-16,Debit,61.66
63,2,2018-04-20,Credit,358.04
64,2,2021-06-27,Debit,303.14
65,2,2020-08-18,Debit,516.31
66,2,2025-10-17,Credit,85.74
67,2,2019-09-13,Credit,466.43
68,2,2025-09-29,Credit,3860.73
69,2,2022-05-16,Credit,264.76
70,2,2025-07-06,Credit,547.77
71,2,2018-06-02,Credit,371.23
72,2,2019-03-25,Credit,3533.26
73,2,2025-03-15,Debit,503.98
74,2,2019-02-19,Credit,321.61
75,2,2023-08-10,Credit,443.20
76,2,2018-09-30,Debit,153.43
77,2,2022-12-25,Debit,33953.49
78,2,2023-06-05,Debit,329.94
79,2,2024-12-22,Debit,40392.51
80,2,2020-03-12,Credit,4640.54
81,2,2022-06-05,Debit,442.08
82,2,2023-08-29,Debit,145.47
83,2,2025-11-28,Credit,3899.54
84,2,2018-05-24,Credit,1288.36
85,2,2022-01-28,Credit,398.35
86,2,2019-08-26,Debit,190.03
87,2,2017-08-10,Debit,177.24
88,2,2024-07-25,Credit,375.37
89,2,2024-12-12,Debit,238.36
90,3,2022-09-20,Debit,337.37
91,3,2024-08-11,Debit,290.12
92,3,2022-02-27,Credit,448.16
93,3,2021-12-30,Debit,451.78
94,3,2025-10-16,Debit,118.35
95,3,2024-08-03,Debit,301.04
96,3,2021-07-15,Debit,98.90
97,3,2024-12-29,Credit,12513.52
98,3,2022-03-10,Credit,1000.57
99,3,2024-02-22,Debit,3473.97
100,3,2023-05-19,Credit,285.99
101,3,2023-11-22,Credit,331.52
102,3,2024-03-22,Credit,147.13
103,3,2025-07-05,Credit,5431.69
104,3,2022-03-04,Debit,283.98
105,3,2023-03-05,Debit,219.79
106,3,2022-06-20,Credit,73.91
107,3,2025-11-03,Credit,428.33
108,3,2022-07-14,Credit,321.70
109,3,2024-01-01,Debit,33312.34
110,3,2025-06-19,Credit,396.53
111,3,2024-07-17,Debit,270.34
112,3,2022-05-27,Debit,283.98
113,3,2023-03-02,Debit,317.75
114,3,2021-10-18,Credit,138.85
115,3,2022-05-19,Debit,450.90
116,3,2024-03-04,Debit,90.39
117,3,2025-08-26,Debit,3182.95
118,3,2022-01-08,Credit,4793.37
